STRI Name,ELE_m,UTM_N,UTM_E,LAT_N,LONG_W
AGUABUENA,125.0,1011231.9,654658.1,9.127777778,-79.59861111
AGUACLARA,459.9,1035211.0,642054.0,9.364444444,-79.70611111
AGUASALUD,171.0,1019838.3,636189.5,9.224444444,-79.76027778
ALHAJUELA,39.6,1017897.9,651549.1,9.206388889,-79.62055556
AMADOR,2.0,985896.4,661109.9,8.916666667,-79.53472222
ARCASONIA,265.2,1016500.6,663154.1,9.193333333,-79.515
BALBOAFAA,10.1,991664.0,659468.1,8.968888889,-79.54944444
BALBOAHTS,30.5,990618.5,658953.0,8.959444444,-79.55416667
BARBACOA,53.0,1008502.9,632195.8,9.120277778,-79.79722222
BCI,33.5,1013267.9,627848.5,9.165277778,-79.83638889
CANDELARIA,97.536,1037450.1,662913.9,9.382777778,-79.51638889
CANO,32.9,1003444.0,629376.2,9.076388889,-79.82277778
CANONES,103.6,989270.3,603064.4,8.948888889,-80.0625
CASCADAS,47.2,1004050.9,645067.9,9.081388889,-79.68
CERROCAMA,120.1,997917.7,620263.8,9.026666667,-79.90583333
CHAGRECITO,479.0,1038875.9,686064.9,9.394722222,-79.30555556
CHAMON,640.0,1033032.0,684689.3,9.341944444,-79.31833333
CHICO,103.6,1024274.8,663701.6,9.263611111,-79.50972222
CHICOCABERCERA,332.0,1033850.1,668726.5,9.35,-79.46361111
CHORRO,42.7,992239.8,610996.8,8.975555556,-79.99027778
CIENTO,38.1,1027959.8,639700.9,9.297777778,-79.72805556
COCLENORTE,,1003004.0,546994.0,9.073484,-80.572365
COCOLI326,37.0,993158.0,654609.0,8.9825,-79.59361111
COROZAL,6.8,993032.0,656675.0,8.979444444,-79.575
DIABLO,4.6,991286.0,656842.8,8.965555556,-79.57333333
DOSBOCAS,228.6,1045201.6,672245.7,9.4525,-79.43111111
EMPIREHILL,61.0,1001476.9,646756.7,9.058055556,-79.66472222
ESCANDALOSA,480.1,1041937.6,656092.1,9.423611111,-79.57833333
ESPERANZA,542.5,1040295.0,680911.0,9.409722222,-79.35222222
FRIJOLITO,349.0,1019241.1,641044.4,9.218888889,-79.71611111
FTS,,1026085.0,612632.2,9.281031,-79.974518
GALETA,1.0,1039605.5,625076.4,9.402742,-79.860837
GAMBOA,31.4,1007454.9,643528.9,9.112222222,-79.69388889
GASPARILLAL,345.9,979762.9,608251.1,8.862777778,-80.01555556
GATUN,30.5,1024588.0,618565.4,9.268333333,-79.92055556
GATUNWEST,32.9,1024047.6,617621.2,9.263055556,-79.92916667
GUACHA,29.0,1014523.1,616581.5,9.176944444,-79.93888889
HUMEDAD,30.5,1000272.1,605601.0,9.048333333,-80.03916667
ISLABRUJA,24.0,1018277.3,618950.9,9.210833333,-79.91722222
JAGUA,545.6,965871.9,604804.0,8.737222222,-80.04722222
LIMONBAY,3.0,1034280.2,619176.7,9.355555556,-79.91472222
LOSDARIELES,,580310.6,974262.7,8.824166667,-80.28777778
LOSHULES,221.9,581329.1,984461.2,8.905277778,-80.26027778
MIRAFLORES,19.8,996646.1,652790.6,9.014166667,-79.61
MONTE LIRIO,33.5,1021647.1,625959.7,9.241111111,-79.85333333
NUEVABORINQUEN,,993648.7,654096.3,8.986388889,-79.59833333
PEDROMIGUEL,30.5,997595.3,651993.0,9.022777778,-79.61722222
PELUCA,106.7,1037122.5,658003.2,9.38,-79.56111111
PUNTABOHIO,25.0,1015349.6,625674.6,9.184166667,-79.85611111
PUNTAFRIJOLES,55.0,1012893.0,631189.0,9.16,-79.80611111
RAICES,33.5,1005109.3,611236.0,9.091944444,-79.98777778
RIOPIEDRAS,198.1,1026355.7,675961.6,9.281944444,-79.39805556
RIOPIEDRASARRIBA,201.2,1026355.7,675961.6,9.281944444,-79.39805556
SALAMANCA,79.2,1028757.3,655596.1,9.304444444,-79.58333333
SANMIGUEL,520.0,1041572.2,664238.7,9.42,-79.50416667
SANTACLARA,102.0,998635.5,637190.7,9.032666667,-79.75183333
SANTAROSA,27.7,1015610.8,647864.4,9.185833333,-79.65416667
SANVICENTE,,564076.6,982280.6,8.885783,-80.417233
TRANQUILLA,64.0,1022743.9,657451.3,9.25,-79.56666667
VALLEGATUN,200.0,1036627.9,649493.2,9.375833333,-79.63861111
VICTORVALDEZ,134.0,995812.9,651786.0,9.006666667,-79.61916667
VISTAMARES,968.7,1021100.9,675619.0,9.234444444,-79.40138889
ZANGUENGA,109.7,990130.0,624586.1,8.968611111,-79.86777778
