site	Utm.x	Utm.y	elev
aguaclara	642.0195	1035.2633	459.9
alhajuela	651.5308	1017.7696	39.6
balboafaa	659.4652	991.5629	10.1
balboahts	658.9434	990.4571	30.5
bateales	557.3513	964.4888	200
bci	627.823	1013.1875	33.5
candelaria	662.4	1037.4557	97.5
cano	629.3815	1003.2814	32.9
canones	603.059	989.1399	103.6
cascadas	645.0325	1003.939	47.2
cerrocama	620.2624	997.9806	120.1
chamon	684.6871	1033.097	640.1
chico	663.6918	1024.135	103.6
chisna	573.9308	971.4866	115
chorro	610.9801	992.0918	42.7
ciento	637.7055	1028.6216	38.1
coclenorte	546.9115	1002.903	12
cocosolo	622.2	1036.5	5
cristobal	622.2	1036.5	43
diablo	656.8508	991.1466	4.6
dosbocas	672.2437	1045.2673	228.6
empirehill	646.7486	1001.3498	61
escandelos	656.0265	1041.8028	480.1
esperanza	680.9292	1040.5759	600
frijolito	641.0594	1019.2348	349
galeta	625.3888	1035.867	15
gamboa	643.4983	1007.3157	31.4
gasparilla	608.2498	979.8246	345.9
gatun	618.5289	1024.5338	30.5
gatunwest	617.5984	1023.9849	32.9
guacha	616.5579	1014.4335	29
hodgeshill	648.1747	999.8171	70.1
humedad	605.561	1000.1544	30.5
jagua	604.8485	965.922	545.6
limonbay	619.1449	1034.0805	3
loshules	581.329	984.4613	180
maddendam	652.0037	1018.2067	79.2
miraflores	652.7743	996.698	19.8
montelirio	625.9429	1021.5123	33.5
pedromigel	651.9595	997.4486	30.5
peluca	657.9972	1037.1878	106.7
raices	611.1849	1004.9369	33.5
riopiedras	675.7663	1026.2757	198.1
salamanca	655.696	1028.8478	79.2
sanmiguel	664.211	1041.4592	520
santarosa	647.8	1015.491	27.7
vistamares	675.5996	1021.3524	968.7
