"","ACP_name","site","latitude","longitude","Elevation"
"1","Agua Buena","AGUABUENA",9.12777777777778,-79.5986111111111,125
"2","Agua Clara","AGUACLARA",9.36444444444444,-79.7061111111111,459.9432
"3","Agua Salud","AGUASALUD",9.22444444444444,-79.7602777777778,171
"4","Alhajuela (Maddan)","ALHAJUELA",9.20638888888889,-79.6205555555556,39.624
"5","Amador","AMADOR",8.91666666666667,-79.5347222222222,2
"6","Arca Sonia","ARCASONIA",9.19333333333333,-79.515,265.176
"7","Balboa Heights","BALBOAHTS",8.95944444444444,-79.5541666666667,30.48
"8","Barbacoa","BARBACOA",9.12027777777778,-79.7972222222222,53
"9","Barro Colorado Island","BCI",9.16527777777778,-79.8363888888889,33.528
"10","Candelaria","CANDELARIA",9.38277777777778,-79.5163888888889,97.536
"11","Caño","CANO",9.07638888888889,-79.8227777777778,32.9184
"12","Caño Quebrado","CAÑOQUEBRADO",9.00472222222222,-79.8261111111111,32.4
"13","Cerro Cama","CERROCAMA",9.02666666666667,-79.9058333333333,120.0912
"14","Chagrecito","CHAGRECITO",9.39472222222222,-79.3055555555556,479
"15","Chamon","CHAMON",9.34194444444445,-79.3183333333333,640
"16","Chico","CHICO",9.26361111111111,-79.5097222222222,103.632
"17","Chico Cabecera","CHICOCABERCERA",9.35,-79.4636111111111,332
"18","Ciento","CIENTO",9.29777777777778,-79.7280555555556,38.1
"19","Cerro Cocolí","CERROCOCOLI",8.990267,-79.59175,37
"20","Cocle del Norte","COCLENORTE",9.073484,-80.572365,NA
"21","Cocolí 326","COCOLI326",8.9825,-79.5936111111111,37
"22","Corozal Oeste","COROZAL",8.97944444444444,-79.575,6.7735704
"23","Diablo Heights","DIABLO",8.96555555555556,-79.5733333333333,4.572
"24","Dos Bocas","DOSBOCAS",9.4525,-79.4311111111111,228.6
"25","El Chorro","CHORRO",8.97555555555556,-79.9902777777778,42.672
"26","Empire Hill","EMPIREHILL",9.05805555555556,-79.6647222222222,60.96
"27","Escandalosa","ESCANDALOSA",9.42361111111111,-79.5783333333333,480.06
"28","Esperanza","ESPERANZA",9.40972222222222,-79.3522222222222,542.544
"29","FAA","BALBOAFAA",8.96888888888889,-79.5494444444444,10.0584
"30","Frijolito","FRIJOLITO",9.21888888888889,-79.7161111111111,348.996
"31","Fort Sherman (STRI)","FTS",9.281031,-79.974518,NA
"32","Galeta (STRI)","GALETA",9.402742,-79.860837,1
"33","Gamboa","GAMBOA",9.11222222222222,-79.6938888888889,31.3944
