"","month_year","monthly_precip","site"
"1",2015-02-01,7.85,"CELESTINO"
"2",2015-03-01,18.5,"CELESTINO"
"3",2015-04-01,62.66,"CELESTINO"
"4",2015-05-01,136.7,"CELESTINO"
"5",2015-06-01,151.455,"CELESTINO"
"6",2015-07-01,150.955,"CELESTINO"
"7",2015-08-01,123.075,"CELESTINO"
"8",2015-09-01,263.18,"CELESTINO"
"9",2015-10-01,275.855,"CELESTINO"
"10",2015-11-01,170.82,"CELESTINO"
"11",2015-12-01,96.585,"CELESTINO"
"12",2016-01-01,6.665,"CELESTINO"
"13",2016-02-01,21.75,"CELESTINO"
"14",2016-03-01,3.895,"CELESTINO"
"15",2016-04-01,139.06,"CELESTINO"
"16",2016-05-01,343.895,"CELESTINO"
"17",2016-06-01,270.65,"CELESTINO"
"18",2016-07-01,231.22,"CELESTINO"
"19",2016-08-01,241.19,"CELESTINO"
"20",2016-09-01,289.23,"CELESTINO"
"21",2016-10-01,463.79,"CELESTINO"
"22",2016-11-01,919.72,"CELESTINO"
"23",2016-12-01,159.665,"CELESTINO"
"24",2017-01-01,21.175,"CELESTINO"
"25",2017-02-01,4.295,"CELESTINO"
"26",2017-03-01,22.725,"CELESTINO"
"27",2017-04-01,111.49,"CELESTINO"
"28",2017-05-01,335.87,"CELESTINO"
"29",2017-06-01,257.505,"CELESTINO"
"30",2017-07-01,350.995,"CELESTINO"
"31",2017-08-01,233.315,"CELESTINO"
"32",2017-09-01,192.9,"CELESTINO"
"33",2017-10-01,355.374,"CELESTINO"
"34",2017-11-01,500.884,"CELESTINO"
"35",2017-12-01,312.296,"CELESTINO"
"36",2018-01-01,136.652,"CELESTINO"
"37",2018-02-01,1.016,"CELESTINO"
"38",2018-03-01,80.772,"CELESTINO"
"39",2018-04-01,172.466,"CELESTINO"
"40",2018-05-01,217.425,"CELESTINO"
"41",2018-06-01,291.722,"CELESTINO"
"42",2018-07-01,261.747,"CELESTINO"
"43",2018-08-01,176.149,"CELESTINO"
"44",2018-09-01,410.591,"CELESTINO"
"45",2018-10-01,513.209,"CELESTINO"
"46",2018-11-01,219.075,"CELESTINO"
"47",2018-12-01,20.066,"CELESTINO"
"48",2019-01-01,9.398,"CELESTINO"
"49",2019-02-01,1.524,"CELESTINO"
"50",2019-03-01,19.431,"CELESTINO"
"51",2019-04-01,75.692,"CELESTINO"
"52",2019-05-01,342.269,"CELESTINO"
"53",2019-06-01,210.058,"CELESTINO"
"54",2019-07-01,373.126,"CELESTINO"
"55",2019-08-01,205.234,"CELESTINO"
"56",2019-09-01,182.244,"CELESTINO"
"57",2019-10-01,281.31,"CELESTINO"
"58",2019-11-01,247.778,"CELESTINO"
"59",2019-12-01,160.909,"CELESTINO"
"60",2020-01-01,59.055,"CELESTINO"
"61",2020-02-01,14.986,"CELESTINO"
"62",2020-03-01,9.017,"CELESTINO"
"63",2020-04-01,154.052,"CELESTINO"
"64",2020-05-01,150.243,"CELESTINO"
"65",2020-06-01,411.228,"CELESTINO"
"66",2020-07-01,134.493,"CELESTINO"
"67",2020-08-01,250.828,"CELESTINO"
"68",2020-09-01,291.849,"CELESTINO"
"69",2020-10-01,149.604,"CELESTINO"
