ID,NOMBRE,PROVINCIA,TIPO,ELEV,LAT,LONG,FECHA_INI,FECHA_FIN,OPERADA,LATDD,LONDD,STATUS,URL,UTM_X,UTM_Y,x,y
100-003,Lima F.B.P. Armuelles,Chiriquí,Tipo C Convencional,3,"8° 21' 00""","82° 46' 00""","12/31/1960, 7:00 PM",31/12/1965,Chiriqui Land Company,8.35,-82.7666666667, , ,305454.6927,923426.8884,305454.69269999955,923426.8883999996
100-038,Limones 2,Chiriquí,Tipo A Automática,0,"8° 20' 02""","82° 23' 42""",, ,E.T.E.S.A.,8.33388888889,-82.395, ,http://www.hidromet.com.pa/red_nacional.php,346385.165,921481.1752,346385.16500000004,921481.1752000004
100-101,Puerto Armuelles,Chiriquí,Tipo C Convencional,15,"8° 17' 00""","82° 52' 00""","12/31/1929, 7:00 PM",31/12/1972,Chiriqui Land Company,8.28333333333,-82.8666666667, , ,294404.2747,916103.634199999,294404.27469999995,916103.6341999993
100-102,Blanco (Pto Armuelles),Chiriquí,Tipo C Convencional,20,"8° 23' 00""","82° 53' 00""","12/31/1929, 7:00 PM",1/6/1981,Chiriqui Land Company,8.38333333333,-82.8833333333, , ,292620.6773,927173.3938,292620.67729999963,927173.3937999997
100-103,Almendro (Pto Armelles),Chiriquí,Tipo C Convencional,18,"8° 26' 00""","82° 53' 00""","12/31/1953, 7:00 PM",1/12/1969,Chiriqui Land Company,8.43333333333,-82.8833333333, , ,292647.2699,932703.9619,292647.2698999997,932703.9618999995
100-104,Balsa (Pto Armuelles),Chiriquí,Tipo C Convencional,16,"8° 26' 00""","82° 54' 00""","12/31/1945, 7:00 PM",1/12/1969,Chiriqui Land Company,8.43333333333,-82.9, , ,290811.6446,932712.853399999,290811.64460000023,932712.8533999994
100-105,Bongo (Pto Armuelles),Chiriquí,Tipo C Convencional,30,"8° 24' 00""","82° 54' 00""","12/31/1959, 7:00 PM",1/12/1970,Chiriqui Land Company,8.4,-82.9, , ,290793.7414,929025.772399999,290793.7413999997,929025.7723999992
100-106,Burica (Pto Armuelles),Chiriquí,Tipo C Convencional,60,"8° 24' 00""","82° 55' 00""","12/31/1945, 7:00 PM",1/12/1968,Chiriqui Land Company,8.4,-82.9166666667, , ,288957.9417,929034.708000001,288957.9417000003,929034.7080000006
100-107,Caoba (Pto Armuelles),Chiriquí,Tipo C Convencional,14,"8° 24' 00""","82° 52' 00""","12/31/1945, 7:00 PM",1/12/1972,Chiriqui Land Company,8.4,-82.8666666667, , ,294465.2897,929008.1359,294465.2896999996,929008.1359000001
100-108,Cocos (Pto Armuelles),Chiriquí,Tipo C Convencional,72,"8° 24' 00""","82° 57' 00""","12/31/1945, 7:00 PM",1/12/1966,Chiriqui Land Company,8.4,-82.95, , ,285286.2904,929052.8136,285286.2904000003,929052.8136
100-110,Baco (Pto Armuelles),Chiriquí,Tipo C Convencional,8,"8° 21' 00""","82° 45' 00""","12/31/1961, 7:00 PM",1/12/1968,Chiriqui Land Company,8.35,-82.75, , ,307290.5789,923418.704,307290.5789000001,923418.7039999999
100-111,Teca (Pto Armuelles),Chiriquí,Tipo C Convencional,3,"8° 22' 00""","82° 46' 00""","12/31/1959, 7:00 PM",1/12/1965,Chiriqui Land Company,8.36666666667,-82.7666666667, , ,305462.9578,925270.2917,305462.9578,925270.2917
100-112,Higueron (Pto Armuelles),Chiriquí,Tipo C Convencional,20,"8° 25' 00""","82° 54' 00""","12/31/1945, 7:00 PM",31/12/1972,Chiriqui Land Company,8.41666666667,-82.9, , ,290802.6842,930869.312200001,290802.6842,930869.3122000005
100-113,Palmito (Pto Armuelles),Chiriquí,Tipo C Convencional,11,"8° 23' 00""","82° 51' 00""","12/31/1947, 7:00 PM",31/12/1972,Chiriqui Land Company,8.38333333333,-82.85, , ,296292.3488,927155.9473,296292.3487999998,927155.9473000001
100-114,Corredor (Pto Armuelles),Chiriquí,Tipo C Convencional,28,"8° 21' 00""","82° 49' 00""","12/31/1945, 7:00 PM",31/12/1972,Chiriqui Land Company,8.35,-82.8166666667, , ,299946.9382,923451.9079,299946.93819999974,923451.9079
100-115,Lechoza (Pto Armuelles),Chiriquí,Tipo C Convencional,10,"8° 22' 00""","82° 50' 00""","12/31/1945, 7:00 PM",1/12/1970,Chiriqui Land Company,8.36666666667,-82.8333333333, , ,298119.565,925303.871400001,298119.5650000004,925303.8714000005
100-116,Guayacan (Pto Armuelles),Chiriquí,Tipo C Convencional,18,"8° 21' 00""","82° 49' 00""","12/31/1945, 7:00 PM",31/12/1972,Chiriqui Land Company,8.35,-82.8166666667, , ,299946.9382,923451.9079,299946.93819999974,923451.9079
100-117,La Ceiba (Pto Armuelles),Chiriquí,Tipo C Convencional,20,"8° 21' 00""","82° 51' 00""","12/31/1953, 7:00 PM",31/12/1972,Chiriqui Land Company,8.35,-82.85, , ,296275.0204,923468.976199999,296275.0203999998,923468.9761999995
100-118,Malagueto (Pto Armuelles),Chiriquí,Tipo C Convencional,13,"8° 21' 00""","82° 49' 00""","12/31/1945, 7:00 PM",31/12/1972,Chiriqui Land Company,8.35,-82.8166666667, , ,299946.9382,923451.9079,299946.93819999974,923451.9079
100-119,Toreto (Pto Armuelles),Chiriquí,Tipo C Convencional,25,"8° 21' 00""","82° 47' 00""","12/31/1959, 7:00 PM",1/12/1963,Chiriqui Land Company,8.35,-82.7833333333, , ,303618.7906,923435.150599999,303618.79059999995,923435.1505999994
100-120,Zapatero (Po Armuelles),Chiriquí,Tipo C Convencional,25,"8° 24' 00""","82° 53' 00""","12/31/1969, 7:00 PM",31/12/1972,Chiriqui Land Company,8.4,-82.8833333333, , ,292629.524,929016.915100001,292629.5240000002,929016.9151000008
100-121,Manaca (Pto Armuelles),Chiriquí,Tipo C Convencional,10,"8° 20' 00""","82° 49' 00""","12/31/1945, 7:00 PM",1/12/1965,Chiriqui Land Company,8.33333333333,-82.8166666667, , ,299938.4556,921608.457599999,299938.4556,921608.4575999994
100-122,Sigua (Pto Armuelles),Chiriquí,Tipo C Convencional,25,"8° 25' 00""","82° 55' 00""","12/31/1945, 7:00 PM",1/12/1967,Chiriqui Land Company,8.41666666667,-82.9166666667, , ,288966.963,930878.265000001,288966.96300000045,930878.2650000006
100-123,Guayabo (Pto Armuelles),Chiriquí,Tipo C Convencional,20,"8° 25' 00""","82° 54' 00""","12/31/1945, 7:00 PM",1/12/1965,Chiriqui Land Company,8.41666666667,-82.9, , ,290802.6842,930869.312200001,290802.6842,930869.3122000005
100-124,Corozo (Pto Armuelles),Chiriquí,Tipo C Convencional,40,"8° 25' 00""","82° 56' 00""","12/31/1945, 7:00 PM",1/12/1967,Chiriqui Land Company,8.41666666667,-82.9333333333, , ,287131.2247,930887.296,287131.22470000014,930887.2960000001
100-125,Canazas (Pto Armuelles),Chiriquí,Tipo C Convencional,40,"8° 24' 00""","82° 56' 00""","12/31/1945, 7:00 PM",1/12/1965,Chiriqui Land Company,8.4,-82.9333333333, , ,287122.1247,929043.7217,287122.1246999996,929043.7216999996
100-126,Pital (Pto Armuelles),Chiriquí,Tipo C Convencional,20,"8° 25' 00""","82° 50' 00""","12/31/1945, 7:00 PM",1/12/1959,Chiriqui Land Company,8.41666666667,-82.8333333333, , ,298145.3995,930834.284499999,298145.3995000003,930834.2844999991
100-127,Carana (Pto Armuelles),Chiriquí,Tipo C Convencional,20,"8° 24' 00""","82° 52' 00""","12/31/1938, 7:00 PM",1/12/1959,Chiriqui Land Company,8.4,-82.8666666667, , ,294465.2897,929008.1359,294465.2896999996,929008.1359000001
100-128,Corotu (Pto Armuelles),Chiriquí,Tipo C Convencional,6,"8° 22' 00""","82° 47' 00""","12/31/1958, 7:00 PM",1/12/1967,Chiriqui Land Company,8.36666666667,-82.7833333333, , ,303627.1338,925278.569800001,303627.13379999995,925278.5698000006
