site	Utm.x	Utm.y	elev	dry.season.moisture
campochagres	653.825761429534	1018.53168224136	109	-570.788135301506
caritas	653.012059487294	1004.56415125745	155	-579.100531262557
cerrogalera	651.373936977251	987.030564840002	64	-573.97944499215
coba1	679.939223998136	1017.72116526126	515	-426.049083497195
coba2	678.935731993261	1018.43005343213	643	-392.171536833449
elcharco	646.88985012478	1004.4150946676	116	-579.147914528549
gigante2	625.977452839077	1006.49761435341	60	-528.875104822177
LP1	620.343252234081	1008.82107839733	80	-513.119597226056
LP2	622.48610608822	1008.88964103765	40	-516.170348430879
P01	614.858045267222	1031.78612033303	20	-513.735905778588
P02	613.983002577104	1030.72529976431	100	-508.809120883832
P03	614.672903010108	1023.80189736453	180	-488.40548353424
P04	615.013923638542	1023.54748737446	180	-488.271103041146
P05	637.156250871531	1012.42766230352	40	-549.609330851028
P06	637.980525826254	1012.39509398499	30	-552.912408091096
P07	638.143980579571	1012.88553570085	60	-551.032233355142
P08	637.734518153007	1013.69911682349	180	-542.758656519327
P09	638.360600806367	1013.7544577072	160	-545.446209459212
P10	625.402144252423	1011.03953196676	90	-515.627242848819
P11	623.292635612709	1011.06496797828	60	-511.832519071082
P12	628.588160686299	1014.89139518371	10	-510.470073370448
P13	629.529862479843	1015.83654173264	55	-509.443434937264
P14	625.123225700201	1012.54479255775	60	-510.566072245284
P15	637.857767299968	1012.97639399912	70	-549.422927972493
P16	641.467981624949	1011.32810251418	160	-562.801789944854
P17	641.103777874986	1011.88744479947	120	-561.454142639617
P18	622.787581030712	1010.90310495398	58	-511.50757394548
P19	634.678724753652	1017.10235044126	160	-518.546488296871
P20	635.759326466879	1016.12295105451	160	-526.22430346573
P21	643.558644475256	1010.75504771324	110	-569.364858260049
P22	643.599686125793	1011.46075071508	180	-566.015106521807
P23	645.80789403582	1008.57476152683	30	-576.525392683279
P24	645.412137996308	1008.79668425232	50	-575.722046780485
P25	631.998700423224	1003.75146093255	110	-553.618343112614
P26	633.317699123102	1003.52805311026	50	-559.094686666611
P27	648.902296654407	1004.02769523691	180	-578.98508200432
P28	649.196667290318	1004.69681581989	160	-579.008907907607
Plot 32	639.80324172334	1034.44468328798	363	-422.43091336793
sherman	612.612172863491	1026.0671797045	140	-491.668967028029
bci	625.773742091384	1011.77385152516	120	-513.995125622002
Albrook - transecto	657.862003050248	992.602613929216	53	-574.731016007325
Camino Plantacion - transecto	648.008795322268	1005.02966603595	140	-578.913809643022
Casa Roubik	633.979633565794	1031.9978316385	190	-487.530228560074
Cerro Jefe - transecto	670.281898294988	1022.23273412207	887.820007324219	-370.090848225012
Cerro Patacon - p40	654.328089116534	996.676335164725	40	-578.187068491156
Cerro Pelado - Gamboa - p1ha	643.14843590059	1008.4865144352	120	-572.945344227785
Cerro Pelado - Gamboa - p40	642.115262424197	1008.52150853629	80	-572.14153827967
Cerro Pelado - Gamboa - transecto.1	642.321963412902	1009.10398497658	160	-569.993708508359
Cerro Pelado - Gamboa - transecto.2	642.014491553292	1009.03211763174	100	-570.744824822975
Chagres - Chilibre - p1ha	654.034031735037	1018.65304830108	85	-571.289081178484
Chagres - Chilibre - transecto	654.133569435072	1018.49639570023	100	-571.208419327048
Clayton - transecto	657.608864450452	995.552218305458	35	-576.483483049411
Fuerte San Lorenzo - p40.1	610.193501924889	1030.82160924376	25	-506.384232324383
Fuerte San Lorenzo - p40.2	611.452065688799	1032.29259539436	72	-512.813905113009
Isla Galeta - transecto	625.388772135078	1035.86707457596	15	-527.885453166574
Paraiso - Cerro Luisa - p40.1	652.234488865908	997.995437813143	140	-578.696216604318
Paraiso - Cerro Luisa - p40.2	652.06755329176	998.443776615141	70	-579.321810788329
Parque Metropolitano - transecto.1	659.758317421386	994.194862590219	35	-574.951376868267
Parque Metropolitano - transecto.2	660.010690010709	994.226872141326	40	-574.867038363941
Quebrada Lopez - transecto	631.841326080343	1030.94549396429	49	-503.946483952531
Santa Rita - p40	639.835813487838	1034.47464724819	340	-426.037681011091
Santa Rita - p40.1	637.473679653937	1034.70062747298	230	-457.701044110216
Santa Rita - p40.2	634.789898935276	1032.7404538951	215	-480.223997223739
Santa Rita - Sierra - transecto	634.822052275368	1032.89211450287	205	-481.12252514873
Sendero El Charco - p1ha	647.05287387531	1004.7795498313	140	-578.816664495358
Sendero El Charco - p40.1	645.799143658423	1005.01382140878	95	-578.734417558531
Sendero El Charco - p40.2	645.886782352513	1005.12688378011	120	-578.476573123602
Sendero El Charco - p40.3	646.516118765934	1004.33630851594	100	-579.225811267149
Sendero El Charco - p40.4	646.834539360189	1004.40487178563	85	-579.407279087166
Sendero El Charco - p40.5	646.999503138144	1004.47076240747	90	-579.379018733616
Sherman - Camino de Pinas - p40.1	611.711626701547	1025.94068250182	101	-490.897919510468
Sherman - Camino de Pinas - p40.2	612.273506534372	1025.51657703121	171	-490.114331656936
