PlotID	Plot.code	pH	pHCaCl2	ResinPi	MehlichP	MehlichAl	MehlichCa	MehlichFe	MehlichK	MehlichMg	MehlichMn	MehlichZn	TotalBases	NH4	NO3	TotalinorgN	DON	TotalP	TotalN	MehlichB	WaterB	TotalC	MicC	MicN	MicP	Clay	Latitude	Longitude	Elevation	AnnualPpt	DrySeasonDeficit
18	Cerro Jefe - transecto	4.63	3.97	0.07	0.05	873.8	118.8	727.9	12.3	29.3	11.4	0.6	160	2.62	1.17	3.79	19	72.2	0.3	0.4949	0.249	4.61630137905363	491.454089054345	90.6460376201292	33.7863305977132		9.24431	-79.4499	887.82001	2864.68643695355	-370.090848225012
1	bci	5.88	5.17	1.86	3.12	1045.9	1528.4	119.5	84.6	225.2	271.8	4.23	1838	2.21	5.15	7.37	26.4	771.1	0.422	0.9567	0.2772	4.47547071554046	1101.70065359477	229.235196078431	46.6679411764706	72.386	9.15125	-79.8553	120	2580.69058533215	-513.995125622002
7	Albrook - transecto	3.34	3.03	1.15	3.16	938	25	297	27.8	17.9	2.5	1.24	71	1.29	2.75	4.04	19.5	403	0.429	0.4329	0.3301	4.82662901481432	451.876543209876	99.7234567901235	49.3131083333333	26.8243433949994	8.97686	-79.564	53	1860.04436503553	-574.731016007325
141	cerrogalera	6.29	6.01	5.5	4.51	539	2956	173	79.4	681	172	3.33	3716	1.99	4.46	6.44	9.4	849	0.75	0.9957	0.1506	3.99275695447891	745.167283950617	148.671604938272	51.1193	50.9767154885978	8.9267	-79.6232	64	1810.3241628481	-573.97944499215
189	Cardenas	3.62	3.34	2.12	3.93	1290	68.8	222	29.7	43.5	12.9	2.6	142	2.62	4.4	7.02	25.4	351	0.301	0.3919	0.3314	5.03080413017164	626.191358024691	109.633333333333	64.9530555555555	35.7338008477554	8.99074	-79.567	76	1860.304	-574.8735
113	P15	5.36	4.96	1.2	1.56	596.4	1340	172.2	68.9	291.8	199.6	3.92	1701	1.18	3.7	4.88	10.9	319	0.43	0.7222	0.1769	2.54749252416205	624.648148148148	175.862962962963	51.1272222222222	72.799581315715	9.16176	-79.7453	70	2330.06785621877	-549.422927972493
99	P01	6.17	5.64	5.89	5.36	687.4	4009.6	143.2	33	249.1	29.6	6.48	4292	0.94	3.27	4.22	5.9	650	0.41	0.7264	0.1191	5.41066063236731	866.944444444444	195.143209876543	90.4888888888889	66.4752932109044	9.33253	-79.9541	20	2864.46986335754	-513.735905778588
100	P02	4.64	4.19	0.36	1.47	1054	1197.8	125.4	39.2	408.2	51.4	1.75	1645	2.89	1.14	4.03	27.7	300	0.29	0.4747	0.1834	4.10173989376809	812.962962962963	157.403086419753	66.2819444444444	61.0302292076425	9.32296	-79.9621	100	2863.1977344724	-508.809120883832
107	P09	4.94	4.52	0.2	1.52	886.5	1561.6	187.7	37.4	698	204.4	2.72	2297	4.81	1	5.8	18.2	165	0.243	0.6152	0.1373	3.5942023816364	746.20987654321	141.085185185185	43.2425	44.4183270357934	9.16878	-79.7407	160	2344.68319345236	-545.446209459212
139	campochagres	6.59	6.31	22.8	22.12	648.3	8166.5	128.1	80.8	466.5	73.9	3.63	8714	0.72	5.62	6.34	8.5	1542	0.459	1.2939	0.1694						9.21146	-79.5998	109	2481.23823281196	-570.788135301506
102	P04	5.84	5.34	4.44	3.98	902.7	4501.9	147	87.5	783.4	46.2	4.71	5373	2.53	2.11	4.64	8.1	653	0.29	0.6223	0.1225	5.0654531371224	971.79012345679	193.516666666667	136.766388888889	35.4928316487626	9.25802	-79.9529	180	2829.94069621781	-488.271103041146
105	P07	4.51	4.08	1.39	2.11	745.5	245.4	183.4	26.7	115.8	49.1	1.67	388	0.3	1.84	2.15	24.1	282	0.349	0.4329	0.1367	2.48813378824942	630.931149097816	123.733333333333	36.9433488527778	66.7571687446878	9.16093	-79.7427	60	2323.34642382434	-551.032233355142
