"","site","Month","mon_mean","temporal","dataset_name","long_dd","lat_dd","CHELSA1.2","CHELSA2.1","CHELSA_EarthEnv","CHPclim","WorldClim2.1","CHIRPS2.0","CHELSAW5E5v1.0","TerraClimate","PBCOR_CHELSA1.2","PBCOR_CHPclim","PBCOR_WorldClim2.1"
"1","AGUACLARA",1,124.745714285714,"1979-2013","CHELSA 1.2",-79.70638,9.362686,90,84,47.6276931762695,105.921348571777,52,87.4000091552734,60.7259292602539,58.4000015258789,97,114.570014953613,29
"2","AGUACLARA",2,64.7617142857143,"1979-2013","CHELSA 1.2",-79.70638,9.362686,49,36.0999984741211,37.6376914978027,60.8622245788574,33,51.3700141906738,34.1182022094727,27.8999996185303,53,65.8749237060547,27
"3","AGUACLARA",3,77.1417142857143,"1979-2013","CHELSA 1.2",-79.70638,9.362686,40,48,39.8050003051758,47.207633972168,33,49.341480255127,34.7550392150879,33.2999992370605,44,51.1028518676758,22
"4","AGUACLARA",4,190.488,"1979-2013","CHELSA 1.2",-79.70638,9.362686,119,144,168.212860107422,97.7494735717773,122,139.234100341797,121.88606262207,114.800003051758,122,105.706214904785,78
"5","AGUACLARA",5,372.144571428571,"1979-2013","CHELSA 1.2",-79.70638,9.362686,369,403.200012207031,410.639282226562,378.549194335938,372,362.6484375,304.548034667969,413.899993896484,339,408.086090087891,288
"6","AGUACLARA",6,366.298285714286,"1979-2013","CHELSA 1.2",-79.70638,9.362686,376,397.5,375.66357421875,430.878814697266,284,392.340545654297,310.287475585938,295.899993896484,308,463.963073730469,296
"7","AGUACLARA",7,341.948571428571,"1979-2013","CHELSA 1.2",-79.70638,9.362686,386,416.700012207031,363.209289550781,387.608856201172,284,353.451568603516,314.732208251953,323,343,417.606262207031,210
"8","AGUACLARA",8,408.825142857143,"1979-2013","CHELSA 1.2",-79.70638,9.362686,403,441.799987792969,382.502838134766,389.186859130859,293,386.075561523438,318.845336914062,272.5,354,419.207611083984,403
"9","AGUACLARA",9,359.403428571429,"1979-2013","CHELSA 1.2",-79.70638,9.362686,366,416.600006103516,399.710723876953,310.808349609375,342,327.83056640625,320.597961425781,283,307,334.709075927734,257
"10","AGUACLARA",10,489.560571428571,"1979-2013","CHELSA 1.2",-79.70638,9.362686,477,510,437.311431884766,405.012268066406,382,408.264739990234,384.037017822266,384.299987792969,417,435.933410644531,367
"11","AGUACLARA",11,609.131428571429,"1979-2013","CHELSA 1.2",-79.70638,9.362686,566,634.700012207031,587.464965820312,606.134399414062,405,567.562194824219,406.444763183594,476,570,653.01123046875,389
"12","AGUACLARA",12,361.194857142857,"1979-2013","CHELSA 1.2",-79.70638,9.362686,306,303.799987792969,275.338562011719,406.017517089844,190,361.466247558594,217.31965637207,234.899993896484,313,438.100494384766,273
"13","BCI",1,72.7125714285714,"1979-2013","CHELSA 1.2",-79.836377,9.164701,78,74.5,30.4869232177734,79.7190399169922,55,64.4785614013672,68.5206146240234,43.5,60,79.7190399169922,26
"14","BCI",2,29.304,"1979-2013","CHELSA 1.2",-79.836377,9.164701,42,31,22.8507690429688,29.4163265228271,11,24.7792415618896,38.4234390258789,24.5,32,29.4163265228271,26
