"","Year","site","annual_precip","long_dd","lat_dd","temporal","dataset_name","CHELSA1.2","CHELSA2.1","CHELSA_EarthEnv","CHIRPS2.0","CHELSAW5E5v1.0","TerraClimate"
"1",1970,"AGUACLARA",4578.858,-79.70638,9.362686,"1979-2013","CHELSA 1.2",NA,NA,NA,NA,NA,3303.30004882812
"2",1970,"BCI",3226.684,-79.836377,9.164701,"1979-2013","CHELSA 1.2",NA,NA,NA,NA,NA,2665.80004882812
"3",1970,"BCICLEAR",3141.214,-79.838233,9.163114,"1979-2013","CHELSA 1.2",NA,NA,NA,NA,NA,2665.80004882812
"4",1970,"CASCADAS",NA,-79.679987,9.080817,"1979-2013","CHELSA 1.2",NA,NA,NA,NA,NA,2572.80004882812
"5",1970,"GAMBOA",2613.536,-79.693876,9.111649,"1979-2013","CHELSA 1.2",NA,NA,NA,NA,NA,2686.80004882812
"6",1970,"GUACHA",NA,-79.938878,9.176367,"1979-2013","CHELSA 1.2",NA,NA,NA,NA,NA,2955.40014648438
"7",1970,"PEDROMIGUEL",2492.158,-79.617208,9.02221,"1979-2013","CHELSA 1.2",NA,NA,NA,NA,NA,2596
"8",1970,"PELUCA",3588.638,-79.561096,9.37941,"1979-2013","CHELSA 1.2",NA,NA,NA,NA,NA,3107.69995117188
"9",1970,"SANMIGUEL",NA,-79.504151,9.419408,"1979-2013","CHELSA 1.2",NA,NA,NA,NA,NA,3659.39990234375
"10",1971,"AGUACLARA",NA,-79.70638,9.362686,"1979-2013","CHELSA 1.2",NA,NA,NA,NA,NA,2706.19995117188
"11",1971,"BCI",2155.446,-79.836377,9.164701,"1979-2013","CHELSA 1.2",NA,NA,NA,NA,NA,2333.60009765625
"12",1971,"BCICLEAR",2157.476,-79.838233,9.163114,"1979-2013","CHELSA 1.2",NA,NA,NA,NA,NA,2333.60009765625
"13",1971,"CASCADAS",NA,-79.679987,9.080817,"1979-2013","CHELSA 1.2",NA,NA,NA,NA,NA,2224.60009765625
"14",1971,"GAMBOA",2152.8,-79.693876,9.111649,"1979-2013","CHELSA 1.2",NA,NA,NA,NA,NA,2255.10009765625
"15",1971,"GUACHA",NA,-79.938878,9.176367,"1979-2013","CHELSA 1.2",NA,NA,NA,NA,NA,2521.5
"16",1971,"PEDROMIGUEL",1935.44,-79.617208,9.02221,"1979-2013","CHELSA 1.2",NA,NA,NA,NA,NA,2223.19995117188
"17",1971,"PELUCA",NA,-79.561096,9.37941,"1979-2013","CHELSA 1.2",NA,NA,NA,NA,NA,2508.80004882812
"18",1971,"SANMIGUEL",3516.804,-79.504151,9.419408,"1979-2013","CHELSA 1.2",NA,NA,NA,NA,NA,2995.89990234375
"19",1972,"AGUACLARA",3106.42,-79.70638,9.362686,"1979-2013","CHELSA 1.2",NA,NA,NA,NA,NA,3150
"20",1972,"BCI",2367.2,-79.836377,9.164701,"1979-2013","CHELSA 1.2",NA,NA,NA,NA,NA,2653.60009765625
"21",1972,"BCICLEAR",2369,-79.838233,9.163114,"1979-2013","CHELSA 1.2",NA,NA,NA,NA,NA,2653.60009765625
"22",1972,"CASCADAS",1998.92,-79.679987,9.080817,"1979-2013","CHELSA 1.2",NA,NA,NA,NA,NA,2535.30004882812
"23",1972,"GAMBOA",2326.58,-79.693876,9.111649,"1979-2013","CHELSA 1.2",NA,NA,NA,NA,NA,2624.89990234375
"24",1972,"GUACHA",1892.24,-79.938878,9.176367,"1979-2013","CHELSA 1.2",NA,NA,NA,NA,NA,2914.19995117188
"25",1972,"PEDROMIGUEL",1948.18,-79.617208,9.02221,"1979-2013","CHELSA 1.2",NA,NA,NA,NA,NA,2486.69995117188
"26",1972,"PELUCA",3129.2,-79.561096,9.37941,"1979-2013","CHELSA 1.2",NA,NA,NA,NA,NA,2858.89990234375
"27",1972,"SANMIGUEL",4066.48,-79.504151,9.419408,"1979-2013","CHELSA 1.2",NA,NA,NA,NA,NA,3263.09985351562
"28",1973,"AGUACLARA",3103.88,-79.70638,9.362686,"1979-2013","CHELSA 1.2",NA,NA,NA,NA,NA,3207.5
"29",1973,"BCI",2402.76,-79.836377,9.164701,"1979-2013","CHELSA 1.2",NA,NA,NA,NA,NA,2610.89990234375
"30",1973,"BCICLEAR",2099.72,-79.838233,9.163114,"1979-2013","CHELSA 1.2",NA,NA,NA,NA,NA,2610.89990234375
"31",1973,"CASCADAS",1762.68,-79.679987,9.080817,"1979-2013","CHELSA 1.2",NA,NA,NA,NA,NA,2588.30004882812
"32",1973,"GAMBOA",2146.3,-79.693876,9.111649,"1979-2013","CHELSA 1.2",NA,NA,NA,NA,NA,2665.89990234375
"33",1973,"GUACHA",2207.22,-79.938878,9.176367,"1979-2013","CHELSA 1.2",NA,NA,NA,NA,NA,2889
"34",1973,"PEDROMIGUEL",1777.94,-79.617208,9.02221,"1979-2013","CHELSA 1.2",NA,NA,NA,NA,NA,2621.5
"35",1973,"PELUCA",3124.16,-79.561096,9.37941,"1979-2013","CHELSA 1.2",NA,NA,NA,NA,NA,2961.90014648438
"36",1973,"SANMIGUEL",3352.72,-79.504151,9.419408,"1979-2013","CHELSA 1.2",NA,NA,NA,NA,NA,3197.89990234375
