"","site","latitude","longitude","source","annual","jfma","Elevation","CHELSA 1.2","CHELSA 1.2_jfma","CHELSA 2.1","CHELSA 2.1_jfma","CHELSA EarthEnv","CHELSA EarthEnv_jfma","CHPclim","CHPclim_jfma","WorldClim 2.1","WorldClim 2.1_jfma","CHIRPS 2.0","CHIRPS 2.0_jfma","CHELSA-W5E5v1.0","CHELSA-W5E5v1.0_jfma","TerraClimate","TerraClimate_jfma","PBCOR CHELSA 1.2","PBCOR CHELSA 1.2_jfma","PBCOR CHPclim","PBCOR CHPclim_jfma","PBCOR WorldClim 2.1","PBCOR WorldClim 2.1_jfma"
"1","AGUACLARA",9.36444444444444,-79.7061111111111,"CHELSA 1.2",3765.644,457.137142857143,459.9432,3547,298,3836.40001678467,312.099998474121,3525.12391281128,293.28324508667,3625.9369392395,311.74068069458,2792,240,3486.98546600342,327.345603942871,2828.29768753052,251.485233306885,4740.59996414185,234.400003433228,3267,316,3907.87125396729,337.254005432129,2639,156
"2","ALHAJUELA",9.20638888888889,-79.6205555555556,"CHELSA 1.2",2327.58069002692,150.733374592427,39.624,2417,183,2600.20000648499,194.60000038147,2417.86947631836,210.496597290039,2610.7406244278,126.412636756897,2572,243,2552.32918262482,145.924550056458,2319.71936416626,200.848712921143,4252.90003967285,170.400001525879,2510,187,2657.43888092041,128.786491394043,2690,261
"3","BALBOAFAA",8.96888888888889,-79.5494444444444,"CHELSA 1.2",1927.21914285714,157.311142857143,10.0584,1952,135,2217.50002765656,138.499997138977,2147.01097011566,144.695219993591,1537.71510791779,100.367588996887,2158,157,1498.9702835083,107.984016418457,2241.04879379272,180.159374237061,3403.50002670288,146.599996566772,2089.06449317932,144.276254653931,1984.08880329132,131.068600654602,2234,217
"4","BALBOAHTS",8.95944444444444,-79.5541666666667,"CHELSA 1.2",1868.10628571429,148.402285714286,30.48,2014,138,2225.90003395081,139.60000038147,2165.17294216156,145.196486473083,1855.20009422302,121.784475326538,1960,145,1799.62286376953,130.519691467285,2225.55940055847,180.462003707886,3403.50002670288,146.599996566772,2081.37202835083,143.776355743408,2385.36063575745,158.435693740845,1983,105
"5","BCI",9.16527777777778,-79.8363888888889,"CHELSA 1.2",2610.22754285714,251.409828571429,33.528,3085,269,3110.39998245239,277.200000762939,2657.40839195251,210.641271591187,2786.31910514832,211.780317306519,2584,260,2647.69711494446,225.489198684692,2619.85166931152,269.271957397461,4029.30004119873,197.700000762939,2468,207,2786.31910514832,211.780317306519,2608,153
"6","BCICLEAR",9.163114,-79.838233,"CHELSA 1.2",2719.49542857143,273.555657142857,NA,3085,269,3110.39998245239,277.200000762939,2657.40839195251,210.641271591187,2786.31910514832,211.780317306519,2584,260,2647.69711494446,225.489198684692,2619.85166931152,269.271957397461,4029.30004119873,197.700000762939,2468,207,2786.31910514832,211.780317306519,2608,153
"7","BCIELECT",9.163114,-79.838233,"CHELSA 1.2",2281.6768,229.6514,NA,3085,269,3110.39998245239,277.200000762939,2657.40839195251,210.641271591187,2786.31910514832,211.780317306519,2584,260,2647.69711494446,225.489198684692,2619.85166931152,269.271957397461,4029.30004119873,197.700000762939,2468,207,2786.31910514832,211.780317306519,2608,153
"8","CANDELARIA",9.38277777777778,-79.5163888888889,"CHELSA 1.2",3229.71028571429,432.838857142857,97.536,2411,205,3097.60002326965,254.300004959106,2780.39362716675,242.267208099365,3041.94262886047,276.973665237427,2666,179,2945.60680007935,285.85786819458,2392.63991928101,207.156566619873,4381.99995803833,197.500001907349,2374,197,3041.94262886047,276.973665237427,2621,200
"9","CANO",9.07638888888889,-79.8227777777778,"CHELSA 1.2",2166.71011627429,180.933702192551,32.9184,2389,196,2669.60000228882,230.499996185303,2436.10879898071,206.480930328369,2623.20175361633,198.963243484497,2448,217,2463.98133277893,208.240427017212,2533.04429626465,259.729919433594,3982.00000762939,191.799999237061,2434.33458709717,199.894371032715,2642.71636962891,200.513168334961,2448,217
"10","CANONES",8.94888888888889,-80.0625,"CHELSA 1.2",2525.41387610395,289.35263019078,103.632,2865,315,2961.20000457764,337.099998474121,2769.00770568848,306.431274414062,3031.23871231079,285.6692237854,2596,268,2819.14424514771,318.521732330322,2837.29497909546,339.342571258545,4461.00003051758,274.799995422363,2630,285,3031.23871231079,285.6692237854,2828,346
"11","CASCADAS",9.08138888888889,-79.68,"CHELSA 1.2",2192.59142857143,158.255428571429,47.244,2228,168,2581.00000953674,192.60000038147,2413.94735717773,185.832366943359,2486.97330284119,145.87135887146,2284,215,2393.29169654846,161.168741226196,2636.12522125244,238.32479095459,3864.3000164032,164.799998283386,2286,164,2486.97330284119,145.87135887146,2284,215
"12","CHICO",9.26361111111111,-79.5097222222222,"CHELSA 1.2",2676.39542857143,182.715428571429,103.632,2347,168,2973.69997215271,206.89999961853,2655.6976890564,188.657695770264,2808.02845478058,149.806729316711,2629,180,2736.59523391724,162.655994415283,2548.99949073792,202.040811538696,4401.39996337891,180.699996948242,2674,188,2812.96502304077,150.083065032959,2760,180
"13","CHORRO",8.97555555555556,-79.9902777777778,"CHELSA 1.2",2223.73956961484,226.240224392211,42.672,2570,261,2630.10001754761,272.400005340576,2496.27653694153,262.895830154419,2570.59560012817,225.182010650635,2442,169,2374.20558929443,237.338768005371,2629.62263870239,305.742771148682,4139.99995803833,187.000001907349,2587,252,2570.59560012817,225.182010650635,2562,178
"14","CIENTO",9.29777777777778,-79.7280555555556,"CHELSA 1.2",3084.53696355325,312.708588918104,38.1,2679,217,3369.30004310608,271.200006484985,2973.3030128479,239.736591339111,3335.27175140381,252.721702575684,2797,296,3204.28020095825,268.716388702393,2545.79159736633,225.016984939575,4734.899974823,203.89999961853,2637,216,3335.27175140381,252.721702575684,3031,310
"15","CRISTOBAL",9.35,-79.9,"CHELSA 1.2",3120.41445748322,253.305374107772,8.5344,3077,301,3355.99999237061,346.200004577637,2948.22179412842,333.198234558105,3307.32703399658,275.470283508301,2375,186,3188.0991859436,309.241367340088,2482.6551399231,257.379932403564,3603.69998550415,172.10000038147,3502.58065795898,341.983581542969,3919.49183273315,321.571422576904,2270,179
"16","DIABLO",8.96555555555556,-79.5733333333333,"CHELSA 1.2",1848.66871471098,160.26414017183,4.572,1877,132,2291.50001335144,146.499998092651,2210.27792453766,150.080765724182,1855.20009422302,121.784475326538,2181,113,1799.62286376953,130.519691467285,2252.04086303711,185.42512512207,3403.50002670288,146.599996566772,2081.37202835083,143.776355743408,2385.36063575745,158.435693740845,1983,105
"17","EMPIREHILL",9.05805555555556,-79.6647222222222,"CHELSA 1.2",2130.32457142857,136.089714285714,60.96,2181,166,2503.40000343323,182.799997329712,2350.94526481628,177.788129806519,2486.97330284119,145.87135887146,2520,220,2393.29169654846,161.168741226196,2641.5146446228,235.480068206787,3974.49993896484,171.099998474121,2286,164,2486.97330284119,145.87135887146,2284,215
"18","ESCANDALOSA",9.42361111111111,-79.5783333333333,"CHELSA 1.2",3435.76189081076,516.014449131311,480.06,3611,296,3862.19996643066,334.699996948242,3616.40992355347,349.182750701904,3502.72005462646,380.712821960449,2793,237,3370.91368484497,383.818378448486,2735.19300079346,235.456382751465,4709.39993286133,346.899993896484,3541,289,3502.72005462646,380.712821960449,2473,224
"19","GALETASTRI",9.40275,-79.86083,"CHELSA 1.2",2932.65942857143,236.308285714286,NA,3208,313,3412.09998703003,346.299999237061,2766.75658416748,252.97159576416,3413.87663650513,294.006031036377,2131,170,3307.99593353271,326.702507019043,2450.82902526855,247.145782470703,3797.19999504089,164.200003623962,3502.58065795898,341.983581542969,3870.94766998291,335.601509094238,2270,179
"20","GAMBOA",9.11222222222222,-79.6938888888889,"CHELSA 1.2",2136.24228571429,161.129142857143,31.3944,2250,180,2640.59998893738,202.300001144409,2398.00548553467,181.504783630371,2524.65594482422,128.914855957031,2443,208,2442.80982971191,149.748794555664,2463.19473457336,221.390687942505,3960.79998016357,180.899997711182,2618,209,2524.65594482422,128.914855957031,2418,219
