"","Source","Correlation","RMSE","Bias","MAE"
"cor","CHELSA 1.2",0.824493212844968,310.260406444332,53.2092692640798,250.097662547392
"cor1","CHELSA 2.1",0.87284224818483,475.540932418731,389.581275009002,438.335595793048
"cor2","CHELSA EarthEnv",0.849628183033331,318.230212626834,67.6534780463275,258.40641768321
"cor3","CHPclim",0.855024025594483,370.950761126448,244.754155901969,326.210161528853
"cor4","WorldClim 2.1",0.653988407160082,402.103101219937,-25.2598045680639,329.826970051131
"cor5","CHIRPS 2.0",0.878878791762805,273.13938425418,92.1924142239491,222.231763596498
"cor6","CHELSA-W5E5v1.0",0.35854274157562,496.773346162011,-19.1130271348387,400.972691744272
"cor7","TerraClimate",0.776272406056355,411.489547464054,-49.6574374556071,345.786971603418
"cor8","PBCOR CHELSA 1.2",0.745722936623851,376.800543578956,107.539825764422,306.269468795361
"cor9","PBCOR CHPclim",0.765025081128486,547.3466527287,412.563389782781,462.792495226264
"cor10","PBCOR WorldClim 2.1",0.560303182829503,422.751547945905,-22.1551492714921,336.609044702541
