"","Source","Correlation","RMSE","MAE","Bias"
"cor","CHELSA 1.2",0.629100058496361,107.324231612681,63.0245788503278,-35.4992165413901
"cor1","CHELSA 2.1",0.608750311142024,104.822524304972,69.4634358752762,-5.7995652335829
"cor2","CHELSA EarthEnv",0.65538260832688,91.4318105072748,61.1763566251113,4.00708643360768
"cor6","CHELSA-W5E5v1.0",0.149367668263711,125.103285644278,83.253343114511,-10.1463932541218
"cor5","CHIRPS v2.0",0.818642838586647,80.8590335688591,48.8476588430248,-22.2100252879453
"cor3","CHPclim v1.0",0.859669398590498,91.0055639428335,57.4533804068109,-45.7037636973821
"cor7","TerraClimate",0.842490159278614,111.657436145132,74.3204177342291,-63.8608566205871
"cor4","WorldClim 2.1",0.474933897972869,120.855999649974,84.4119315612782,-52.0789974133896
"cor8","PBCOR CHELSA 1.2",0.599157079079918,108.002032215998,65.5180450799969,-31.965406079669
"cor9","PBCOR CHPclim",0.809917159933305,88.7391088346091,54.296003179423,-32.0908690854082
"cor10","PBCOR WorldClim 2.1",0.324627121950535,131.337439232072,92.6844474206863,-57.0838411560063
